Stopping Criterion,Distribution,MC/QMC,mean_shift,solution,n_samples,time
CubQMCLatticeG,Lattice,QMC,2.7,1.7946910341568991,4096.0,0.019258419672648113
CubQMCLatticeG,Lattice,QMC,2.8,1.7786152387827086,4096.0,0.016972939173380535
CubQMCLatticeG,Lattice,QMC,2.9,1.7439652453276342,8192.0,0.028864701588948567
CubQMCLatticeG,Lattice,QMC,3.0,1.7175215840751195,8192.0,0.029524723688761394
CubQMCSobolG,Sobol,QMC,-0.2,1.7999081745958092,4096.0,0.012892007827758789
CubQMCSobolG,Sobol,QMC,-0.1,1.8068604214712984,2048.0,0.006681998570760091
CubQMCSobolG,Sobol,QMC,0.0,1.801622718492886,2048.0,0.00690770149230957
CubQMCSobolG,Sobol,QMC,0.1,1.7809255889782711,1024.0,0.003856658935546875
CubQMCSobolG,Sobol,QMC,0.2,1.7808538057801748,1024.0,0.003773927688598633
CubQMCSobolG,Sobol,QMC,0.3,1.7810092176430956,1024.0,0.003948609034220378
CubQMCSobolG,Sobol,QMC,0.4,1.779826177868773,1024.0,0.0032064119974772134
CubQMCSobolG,Sobol,QMC,0.5,1.780636223106547,1024.0,0.003360589345296224
CubQMCSobolG,Sobol,QMC,0.6,1.7805300736818246,1024.0,0.0035916964213053384
CubQMCSobolG,Sobol,QMC,0.7,1.7780453048604083,1024.0,0.003641525904337565
CubQMCSobolG,Sobol,QMC,0.8,1.7775695693671327,1024.0,0.0034825801849365234
CubQMCSobolG,Sobol,QMC,0.9,1.7781699111313258,1024.0,0.003646691640218099
CubQMCSobolG,Sobol,QMC,1.0,1.7816671218377877,1024.0,0.0035349527994791665
CubQMCSobolG,Sobol,QMC,1.1,1.7841907155350973,1024.0,0.0037651856740315757
CubQMCSobolG,Sobol,QMC,1.2,1.7889323828415549,1024.0,0.0035865306854248047
CubQMCSobolG,Sobol,QMC,1.3,1.795227945483049,1024.0,0.0036252339680989585
CubQMCSobolG,Sobol,QMC,1.4,1.8012386573085788,1024.0,0.003451108932495117
CubQMCSobolG,Sobol,QMC,1.5,1.8086873660910179,1024.0,0.003769556681315104
CubQMCSobolG,Sobol,QMC,1.6,1.8136970935727623,1024.0,0.003540595372517904
CubQMCSobolG,Sobol,QMC,1.7,1.8208650285150074,1024.0,0.0038750171661376953
CubQMCSobolG,Sobol,QMC,1.8,1.807126502725022,2048.0,0.006769100824991862
CubQMCSobolG,Sobol,QMC,1.9,1.8118230513318867,2048.0,0.005780776341756185
CubQMCSobolG,Sobol,QMC,2.0,1.8159174550154011,2048.0,0.0068921248118082685
